0.00010	8.60000
0.00020	9.83500
0.00030	11.00000
0.00040	12.23000
0.00050	13.52000
0.00060	14.84000
0.00070	16.09000
0.00080	17.19000
0.00090	18.12000
0.00100	18.88000
0.00110	19.46000
0.00120	19.92000
0.00130	20.17000
0.00140	20.33000
0.00150	20.39000
0.00160	20.34000
0.00170	20.12000
0.00180	19.76000
0.00190	19.38000
0.00200	18.85000
0.00210	18.15000
0.00220	17.35000
0.00230	16.40000
0.00240	15.30000
0.00250	14.30000
0.00260	12.76000
0.00270	11.29000
0.00280	9.75800
0.00290	8.18600
0.00300	6.64100
0.00310	5.18600
0.00320	3.88500
0.00330	2.75800
0.00340	1.86900
0.00350	1.18700
0.00360	7.07500
0.00370	3.96100
0.00380	2.04900
0.00390	1.04000
0.00400	4.53000
